sampleID;class
4_Blanco;Blank
15_QC1_4;Quality_Control
21_Qc2_2;Quality_Control
28_Qc3_3;Quality_Control
34_Qc1_2;Quality_Control
41_Qc2_4;Quality_Control
44_Qc2_5;Quality_Control
45_Qc3_2;Quality_Control
7_Qc1_5;Quality_Control
8_Qc2_3;Quality_Control
10_RIG003_1;Samples
11_Sample_FIED001_2;Samples
12_Sample_RGY001_3;Samples
13_Sample_RIG003_3;Samples
14_Sample_RYTA006_2;Samples
16_Sample_RYMG001_3;Samples
17_Sample_RGY001_1;Samples
18_Sample_FIED001_1;Samples
19_Sample_RYMG001_2;Samples
20_Sample_ER001_1;Samples
22_Sample_ATA001_2;Samples
23_RIG003_2;Samples
25_Sample_RYTA006_3;Samples
26_Sample_RYTA006_1;Samples
27_Sample_RIG005_3;Samples
29_Sample_RGB004_1;Samples
30_Sample_RGB004_3;Samples
31_Sample_FIED001_3;Samples
32_Sample_ATA001_3;Samples
33_Sample_ATA001_1;Samples
35_Sample_RGY001_2;Samples
36_Sample_RGB004_2;Samples
37_Sample_RIG005_1;Samples
38_Sample_ER001_2;Samples
40_Sample_RYMG001_1;Samples
42_Sample_RIG005_2;Samples
43_Sample_ER001_3;Samples
